script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
ipw_mle,ipw,default,10000,500,500,logit,,,,,,,,,,,,y,analytic,subbootstrap,,0.05,500,0,1.01043394878497,0.00315767853373924,0.109254137907104,0.00488884373019232,0.116738440991017,0.952,0.00955991631762538,0.457606279907495,7.99026799201965,0.2.3.9001,4.4.2,85ca7cd,2026-05-14T07:16:01Z
ipw_mle,ipw,default,10000,500,500,logit,,,,,,,,,,,,y,analytic,subbootstrap,,0.1,500,0,1.01043394878497,0.00315767853373924,0.109254137907104,0.00488884373019232,0.116738440991017,0.912,0.0126693330526907,0.384035296137469,7.99026799201965,0.2.3.9001,4.4.2,85ca7cd,2026-05-14T07:16:01Z
ipw_mle,ipw,default,10000,500,500,logit,,,,,,,,,,,,y,bootstrap,subbootstrap,200,0.05,500,0,1.01043394878497,0.00315767853373924,0.109254137907104,0.00488884373019232,0.112034598008199,0.938,0.0107848041243223,0.439167554236985,203.564690113068,0.2.3.9001,4.4.2,85ca7cd,2026-05-14T07:19:17Z
ipw_mle,ipw,default,10000,500,500,logit,,,,,,,,,,,,y,bootstrap,subbootstrap,200,0.1,500,0,1.01043394878497,0.00315767853373924,0.109254137907104,0.00488884373019232,0.112034598008199,0.898,0.0135348439222623,0.368561029755672,203.564690113068,0.2.3.9001,4.4.2,85ca7cd,2026-05-14T07:19:17Z
