script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
ipw_kim2021,ipw,kim2021,100000,1000,500,logit,,,,,,,,,,,,y1,analytic,,,0.05,200,0,5.00055062511134,-0.0223252445886691,0.106733293426053,0.00742779411784243,0.109155900532464,0.95,0.0154110350074225,0.427883267487333,7.75716876983643,0.2.3.9001,4.6.0,62c764c,2026-05-14T06:37:39Z
ipw_kim2021,ipw,kim2021,100000,1000,500,logit,,,,,,,,,,,,y2,analytic,,,0.05,200,0,5.00053876797598,-0.00403537319330682,0.0821336248442553,0.00581136742581303,0.0845650187441215,0.96,0.013856406460551,0.331488782180865,7.79285073280335,0.2.3.9001,4.6.0,62c764c,2026-05-14T06:37:39Z
ipw_kim2021,ipw,kim2021,100000,1000,500,logit,,,,,,,,,,,,y3,analytic,,,0.05,200,0,5.00046107384549,-0.0240171314025123,0.123688657220168,0.0086400773588189,0.126331011450723,0.94,0.0167928556237467,0.495208465147867,6.21071839332581,0.2.3.9001,4.6.0,62c764c,2026-05-14T06:37:45Z
