script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
ipw_gee,ipw,default,10000,500,500,logit,gee,1,,,,,,,,,,y,analytic,subbootstrap,,0.05,500,0,1.01043394878497,0.00794011512473559,0.084590039146951,0.00377005108184182,0.078423821585086,0.92,0.0121326007104825,0.307415731673527,12.1527626514435,0.3.0,4.6.1,2a08e49,2026-06-28T08:26:16Z
ipw_gee,ipw,default,10000,500,500,logit,gee,1,,,,,,,,,,y,analytic,subbootstrap,,0.1,500,0,1.01043394878497,0.00794011512473559,0.084590039146951,0.00377005108184182,0.078423821585086,0.872,0.0149409504383088,0.257991414747248,12.1527626514435,0.3.0,4.6.1,2a08e49,2026-06-28T08:26:16Z
ipw_gee,ipw,default,10000,500,500,logit,gee,1,,,,,,,,,,y,bootstrap,subbootstrap,200,0.05,500,0,1.01043394878497,0.00794011512473559,0.084590039146951,0.00377005108184182,0.0796344136189462,0.928,0.0115599307956406,0.312161165246201,520.67363858223,0.3.0,4.6.1,2a08e49,2026-06-28T08:34:44Z
ipw_gee,ipw,default,10000,500,500,logit,gee,1,,,,,,,,,,y,bootstrap,subbootstrap,200,0.1,500,0,1.01043394878497,0.00794011512473559,0.084590039146951,0.00377005108184182,0.0796344136189462,0.872,0.0149409504383088,0.261973908142555,520.67363858223,0.3.0,4.6.1,2a08e49,2026-06-28T08:34:44Z
ipw_gee,ipw,default,10000,500,500,logit,gee,2,,,,,,,,,,y,analytic,subbootstrap,,0.05,500,0,1.01043394878497,0.0102374485765619,0.0990956071575267,0.00441239236944837,0.0985955824380983,0.946,0.0101078187557949,0.386487581226845,10.6670410633087,0.3.0,4.6.1,2a08e49,2026-06-28T08:26:26Z
ipw_gee,ipw,default,10000,500,500,logit,gee,2,,,,,,,,,,y,analytic,subbootstrap,,0.1,500,0,1.01043394878497,0.0102374485765619,0.0990956071575267,0.00441239236944837,0.0985955824380983,0.904,0.0131745208641529,0.324350602749398,10.6670410633087,0.3.0,4.6.1,2a08e49,2026-06-28T08:26:26Z
ipw_gee,ipw,default,10000,500,500,logit,gee,2,,,,,,,,,,y,bootstrap,subbootstrap,200,0.05,500,0,1.01043394878497,0.0102374485765619,0.0990956071575267,0.00441239236944837,0.104276258933342,0.956,0.00917213170424412,0.408755423903848,452.676897525787,0.3.0,4.6.1,2a08e49,2026-06-28T08:42:17Z
ipw_gee,ipw,default,10000,500,500,logit,gee,2,,,,,,,,,,y,bootstrap,subbootstrap,200,0.1,500,0,1.01043394878497,0.0102374485765619,0.0990956071575267,0.00441239236944837,0.104276258933342,0.916,0.0124051602166195,0.343038365422878,452.676897525787,0.3.0,4.6.1,2a08e49,2026-06-28T08:42:17Z
