script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
ipw_scad_boot,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,SCAD,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,-0.109323288114098,0.189917459858993,0.0156079040566813,0.110277808954232,0.69,0.0462493243193887,0.432281067688567,34.3902943134308,0.3.0,4.6.0,86d1398,2026-06-07T08:26:35Z
ipw_scad_boot,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,lasso,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,-0.0180391801214579,0.117856618047471,0.0117054638015512,0.113512227314202,0.95,0.0217944947177034,0.444959754681519,50.8830618858337,0.3.0,4.6.0,86d1398,2026-06-07T08:26:51Z
ipw_scad_boot,ipw,default,10000,500,500,logit,,,,,,,,,TRUE,MCP,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,-0.026647131074742,0.120749885729049,0.0118366257942272,0.113014014889527,0.93,0.0255147016443461,0.443006797863493,30.5341291427612,0.3.0,4.6.0,86d1398,2026-06-07T08:27:05Z
