script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
dr_scad,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,SCAD,,y,analytic,,,0.05,500,0,1.01043394878497,0.00791311084550323,0.0842394143150954,0.00375439931683547,0.110681867831905,0.986,0.00525433154644813,0.433864949384311,50.5840139389038,0.3.0,4.6.1,e66e8e4,2026-08-30T11:03:10Z
dr_scad,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,lasso,,y,analytic,,,0.05,500,0,1.01043394878497,0.00874440037233555,0.0852056467341454,0.00379418859959322,0.120854076807555,0.992,0.0039839678713564,0.473739275855289,91.5776963233948,0.3.0,4.6.1,e66e8e4,2026-08-30T11:03:51Z
dr_scad,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,MCP,,y,analytic,,,0.05,500,0,1.01043394878497,0.00856421456097777,0.0849783190201083,0.00378478361851131,0.119330922314447,0.992,0.0039839678713564,0.467768619956527,40.9596612453461,0.3.0,4.6.1,e66e8e4,2026-08-30T11:03:51Z
