script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
dr_scad_boot,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,SCAD,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,0.00369972291127733,0.0782197918518556,0.00785258619672807,0.0721296398491341,0.93,0.0255147016443461,0.282742992644296,674.02490067482,0.3.0,4.6.0,ec5beda,2026-05-24T08:34:38Z
dr_scad_boot,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,lasso,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,0.00397227214119373,0.0791429499234574,0.00794414057408605,0.0729065187500219,0.93,0.0255147016443461,0.285788301976474,972.310789823532,0.3.0,4.6.0,ec5beda,2026-05-24T08:39:37Z
dr_scad_boot,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,TRUE,MCP,,y,bootstrap,subbootstrap,50,0.05,100,0,1.01043394878497,0.00388698166299848,0.0790494074762542,0.00793515397742465,0.0723074976131586,0.93,0.0255147016443461,0.283440182268014,567.085422515869,0.3.0,4.6.0,ec5beda,2026-05-24T08:44:05Z
