script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
dr_glm,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,,,,y,analytic,subbootstrap,,0.05,500,0,1.01043394878497,0.00845046582062696,0.0851903730146495,0.00379483598114948,0.125624607498378,0.994,0.00345369367489359,0.492439412537601,13.1960806846619,0.3.0,4.6.1,1f7d99f,2026-07-12T08:07:20Z
dr_glm,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,,,,y,analytic,subbootstrap,,0.1,500,0,1.01043394878497,0.00845046582062696,0.0851903730146495,0.00379483598114948,0.125624607498378,0.976,0.00684455988358638,0.413268182556123,13.1960806846619,0.3.0,4.6.1,1f7d99f,2026-07-12T08:07:20Z
dr_glm,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,,,,y,bootstrap,subbootstrap,200,0.05,500,0,1.01043394878497,0.00845046582062696,0.0851903730146495,0.00379483598114948,0.0744398773547325,0.91,0.0127984374046209,0.291798957257709,1446.20586919785,0.3.0,4.6.1,1f7d99f,2026-07-12T08:31:13Z
dr_glm,dr,default,10000,500,500,logit,,,glm,gaussian,,,,,,,,y,bootstrap,subbootstrap,200,0.1,500,0,1.01043394878497,0.00845046582062696,0.0851903730146495,0.00379483598114948,0.0744398773547325,0.848,0.0160559023415067,0.244885404513509,1446.20586919785,0.3.0,4.6.1,1f7d99f,2026-07-12T08:31:13Z
