script,estimator,dgp,n_pop,n_nonprob,n_prob,method_selection,est_method,gee_h_fun,method_outcome,family_outcome,k,pmm_match_type,pmm_weights,pmm_reg_engine,vars_selection,penalty,bias_correction,target_var,var_method,rep_type,num_boot,alpha,n_reps,n_failed,true_target,bias,rmse,mc_se,mean_se,coverage,coverage_mcse,ci_width,runtime_sec,nonprobsvy_version,r_version,commit_sha,run_date
mi_glm,mi,default,10000,500,500,,,,glm,gaussian,,,,,,,,y,analytic,,,0.05,500,0,1.01043394878497,0.0043664454152085,0.0790809707974374,0.00353474993565564,0.0770663805600712,0.944,0.0102824121683582,0.302094660633194,7.07044434547424,0.2.3.9001,4.6.0,2d7b79a,2026-05-14T07:55:27Z
mi_glm,mi,default,10000,500,500,,,,glm,gaussian,,,,,,,,y,analytic,,,0.1,500,0,1.01043394878497,0.0043664454152085,0.0790809707974374,0.00353474993565564,0.0770663805600712,0.898,0.0135348439222623,0.253525831160511,7.07044434547424,0.2.3.9001,4.6.0,2d7b79a,2026-05-14T07:55:27Z
